outcome,outcome_type,batch,model_method,model_file,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high,day_type,employment_clean
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Employed For Wages,Weekend,NA,NA,NA,NA,1.9757526497705251,1.923899206222572,2.0276060933184787,Weekend,Employed For Wages
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Homemaker,Weekday,NA,NA,NA,NA,-0.5703553249454709,-0.8113181035784709,-0.329392546312471,Weekday,Homemaker
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Homemaker,Weekend,NA,NA,NA,NA,-0.10442925400119984,-0.3456439103485769,0.1367854023461772,Weekend,Homemaker
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Out Of Work Less Than One,Weekday,NA,NA,NA,NA,2.7761830186696184,2.4851503877743095,3.067215649564927,Weekday,Out Of Work Less Than One
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Out Of Work Less Than One,Weekend,NA,NA,NA,NA,3.330853825825243,3.039541553018178,3.622166098632308,Weekend,Out Of Work Less Than One
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Out Of Work One Or More,Weekday,NA,NA,NA,NA,-2.693838254623478,-3.034565745259724,-2.3531107639872317,Weekday,Out Of Work One Or More
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Out Of Work One Or More,Weekend,NA,NA,NA,NA,-2.2370182481863754,-2.577966716780391,-1.89606977959236,Weekend,Out Of Work One Or More
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,-3.2738657997539233,-3.518177310945928,-3.029554288561919,Weekday,Retired
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,-2.7938609386810827,-3.038352357282374,-2.5493695200797912,Weekend,Retired
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Self Employed,Weekday,NA,NA,NA,NA,0.7655995256094608,0.6043041596769284,0.9268948915419932,Weekday,Self Employed
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Self Employed,Weekend,NA,NA,NA,NA,1.2775812475777797,1.1159478371579226,1.4392146579976364,Weekend,Self Employed
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Student,Weekday,NA,NA,NA,NA,1.760183935838421,1.6478698594416967,1.8724980122351451,Weekday,Student
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Student,Weekend,NA,NA,NA,NA,2.2972155145432183,2.184525812218799,2.409905216867638,Weekend,Student
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Unable To Work,Weekday,NA,NA,NA,NA,-1.175263902218998,-1.39484044569041,-0.9556873587475856,Weekday,Unable To Work
